编号,所属类型,所属板块,所属政党,内容
0_2_2_003,政策,军事,极权,党指挥枪制度，消耗：权威 | 正面效果：大幅增强军队服从党、提升政委控制 | 副作用/风险：军事效率下降
0_5_2_001,政策,社会,极权,群众动员大会，消耗：声量、权威 | 正面效果：增加群众参与、提升动员意愿 | 副作用/风险：持续成本消耗高
0_2_2_004,政策,军事,极权,秘密警察镇压，消耗：大量权威 | 正面效果：大幅降低动乱、大幅减少异见派 | 副作用/风险：人权争议严重、长期反弹风险
0_2_2_005,政策,军事,极权,政治清洗行动，消耗：大量权威、声量 | 正面效果：大幅增强绝对控制、消除异见派 | 副作用/风险：短期稳定下降、人才流失严重
0_5_2_002,政策,社会,极权,群众批斗大会，消耗：声量、权威 | 正面效果：公开羞辱异见派、大幅增强威慑 | 副作用/风险：社会恐怖氛围严重、长期创伤
0_2_2_006,政策,军事,极权,意识形态审查，消耗：权威 | 正面效果：大幅识别异见派、增强控制 | 副作用/风险：审查成本持续消耗、效率损失
0_2_2_007,政策,军事,极权,政委制度建立，消耗：权威、声量 | 正面效果：大幅增强军队意识形态忠诚 | 副作用/风险：军事效率下降严重、专业军官不满
0_2_2_008,政策,军事,极权,军官政治清洗，消耗：大量权威 | 正面效果：大幅增强军队绝对忠诚 | 副作用/风险：军事能力下降严重、政变风险激增后下降
0_2_2_009,政策,军事,极权,忠诚度考核制，消耗：权威、声量 | 正面效果：筛选军官忠诚 | 副作用/风险：专业能力筛选缺失严重
0_5_2_003,政策,社会,极权,意识形态全面灌输，消耗：权威、声量 | 正面效果：大幅增强意识形态声量、大幅提升忠诚 | 副作用/风险：思想僵化严重、创新下降严重
0_5_2_004,政策,社会,极权,个人崇拜建设，消耗：大量权威、声量 | 正面效果：大幅增强领袖权威、大幅提升群众忠诚 | 副作用/风险：领袖依赖风险严重、后继危机
0_5_2_005,政策,社会,极权,群众学习大会，消耗：声量、权威 | 正面效果：增强思想统一、提升参与 | 副作用/风险：时间成本消耗高、生产损失
0_5_2_006,政策,社会,极权,意识形态教材编写，消耗：权威、声量 | 正面效果：大幅增强教育控制、提升青年忠诚 | 副作用/风险：教育内容单一、创新下降严重
0_2_2_010,政策,军事,极权,异见派全面清洗，消耗：大量权威、声量 | 正面效果：消除异见派、大幅增强绝对控制 | 副作用/风险：社会恐怖严重、人才流失极严重
0_5_2_007,政策,社会,极权,意识形态纯化运动，消耗：大量权威、声量 | 正面效果：大幅提升意识形态纯度、增强忠诚 | 副作用/风险：大规模社会动荡严重
0_3_2_001,政策,内政,极权,媒体单一化，消耗：权威 | 正面效果：大幅增强舆论绝对控制 | 副作用/风险：信息闭塞严重、创新下降严重
0_5_2_008,政策,社会,极权,知识分子改造运动，消耗：权威、声量 | 正面效果：大幅增强知识分子服从 | 副作用/风险：知识分子能力下降极严重
0_3_2_002,政策,内政,极权,单一官方媒体，消耗：权威、金钱 | 正面效果：大幅增强媒体控制 | 副作用/风险：信息闭塞严重、舆论僵化严重
0_5_2_009,政策,社会,极权,宣传机器建立，消耗：权威、声量 | 正面效果：大幅提升宣传效率、增强覆盖 | 副作用/风险：维护成本持续消耗
0_3_2_003,政策,内政,极权,信息封锁令，消耗：权威 | 正面效果：大幅阻断外部信息 | 副作用/风险：技术落后风险严重
0_1_2_001,政策,产业,极权,指令经济全面实施，消耗：大量权威、声量 | 正面效果：大幅增强国家控制、大幅提升战争动员 | 副作用/风险：效率下降严重、市场活力消失
0_1_2_002,政策,产业,极权,五年计划启动，消耗：大量权威、声量 | 正面效果：大幅提升工业化、增强军工产出 | 副作用/风险：消费品短缺严重、民生下降严重
0_1_2_003,政策,产业,极权,产业国有化，消耗：大量权威 | 正面效果：大幅增强国家控制、消除资产阶级 | 副作用/风险：资产阶级叛乱风险严重
0_1_2_004,政策,产业,极权,生产目标指令，消耗：权威、声量 | 正面效果：增强产出目标达成 | 副作用/风险：质量下降严重、效率损失严重
0_4_2_001,政策,国库财政,极权,按劳分配制度，消耗：权威、声量 | 正面效果：增加工人支持、提升公平性名义 | 副作用/风险：实际分配不公、激励下降
0_5_2_010,政策,社会,极权,阶级差别消除，消耗：大量权威、声量 | 正面效果：大幅提升阶级名义平等 | 副作用/风险：特权阶层实际存在、效率下降严重
0_4_2_002,政策,国库财政,极权,配给制实施，消耗：权威、声量 | 正面效果：大幅增强资源控制、提升稳定名义 | 副作用/风险：消费品短缺严重、生活水平下降严重
0_5_2_011,政策,社会,极权,特权阶层供给，消耗：权威、声量 | 正面效果：增加特权阶层忠诚 | 副作用/风险：底层激进化严重、名义公平受损严重
0_1_2_005,政策,产业,极权,计划劳动力分配，消耗：权威、声量 | 正面效果：大幅增强劳动力控制、增加战略产业劳动力 | 副作用/风险：工人不满严重、流动性下降严重
0_1_2_006,政策,产业,极权,强制劳动征调，消耗：大量权威 | 正面效果：大幅增加战略产业劳动力 | 副作用/风险：工人反抗严重、人权争议严重
0_1_2_007,政策,产业,极权,集体农庄建立，消耗：权威、声量 | 正面效果：大幅增强农业控制、增加粮食征调 | 副作用/风险：农民反抗严重、农业效率下降严重
0_0_2_001,政策,市场,极权,扩大商品存储上限，消耗：党权、声量 | 正面效果：扩大战略商品存储上限、大幅增强物资储备 | 副作用/风险：成功率极高；失败极少，但失败将触发党内清洗或激进派上升
0_4_2_003,政策,国库财政,极权,产业亏损补贴，消耗：党权、大量声量 | 正面效果：设定阈值自动触发国家财政补贴、绝对稳定关键产业 | 副作用/风险：财政赤字极严重、效率僵化严重、配给制强化
0_0_2_002,政策,市场,极权,国家投行化，消耗：党权、大量金钱 | 正面效果：国家完全控制银行业、大幅提升信贷额度与投资速度 | 副作用/风险：市场活力消失、金融垄断、资本家彻底消灭
0_0_2_003,政策,市场,极权,信贷优先级干预，消耗：党权、声量 | 正面效果：设置银行业投资偏好（强制优先军工/重工业） | 副作用/风险：消费品产业信贷彻底消失、民用产业严重受损
0_2_2_011,政策,军事,极权,军工价格折扣政策，消耗：党权、金钱 | 正面效果：国家强制降低武器单价、军工厂服从党指令 | 副作用/风险：军工厂商无利润、厂商规模由国家指令决定
0_0_2_004,政策,市场,极权,战略储备市场管理，消耗：党权、声量 | 正面效果：投入市场：供<求时释放缺口赚取利润；直接丢弃：国家指令销毁库存 | 副作用/风险：投入市场由国家控制价格；丢弃可人为制造稀缺强化控制
0_7_2_001,政策,外交,极权,阵营意识形态输出，消耗：权威、声量 | 正面效果：大幅增强意识形态影响力、增加阵营支持 | 副作用/风险：外交恶名上升、对抗风险
0_7_2_002,政策,外交,极权,共产国际建立，消耗：大量权威、威望 | 正面效果：大幅增强阵营组织、增加意识形态同盟 | 副作用/风险：资源消耗持续、对抗风险严重
0_7_2_003,政策,外交,极权,阵营技术共享，消耗：权威、声量 | 正面效果：增强阵营技术、提升效率 | 副作用/风险：技术泄露风险
0_7_2_004,政策,外交,极权,卫星国建立，消耗：权威、威望 | 正面效果：大幅增强阵营控制、增加卫星国 | 副作用/风险：管理成本上升严重、卫星国反抗
0_8_2_001,政策,情报,极权,意识形态渗透，消耗：权威、声量 | 正面效果：大幅增强目标国意识形态影响 | 副作用/风险：曝光风险严重、恶名上升
0_8_2_002,政策,情报,极权,阵营政变支持，消耗：大量权威、威望 | 正面效果：大幅提高目标国政权变更概率 | 副作用/风险：曝光后恶名极严重、外交冲突严重
0_8_2_003,政策,情报,极权,地下组织建立，消耗：权威、金钱 | 正面效果：增强长期渗透、提升隐蔽性 | 副作用/风险：维护成本持续消耗
0_8_2_004,政策,情报,极权,技术窃取行动，消耗：权威、金钱 | 正面效果：提高技术获取概率 | 副作用/风险：曝光风险严重、外交冲突
0_6_2_001,政策,科技,极权,阵营需求导向科研，消耗：权威、声量 | 正面效果：大幅增强阵营科研、增加国家需求科研 | 副作用/风险：其他领域滞后严重、创新下降严重
0_6_2_002,政策,科技,极权,军事科研优先，消耗：权威、金钱 | 正面效果：大幅增强军事科技、提升军工效率 | 副作用/风险：消费品科研滞后极严重
0_6_2_003,政策,科技,极权,意识形态科研，消耗：权威、声量 | 正面效果：大幅增强意识形态理论、提升忠诚 | 副作用/风险：实用科研滞后严重
0_6_2_004,政策,科技,极权,国家科研集中，消耗：权威、大量金钱 | 正面效果：提升科研效率、大幅增强国家控制 | 副作用/风险：市场创新消失、效率僵化严重
0_6_2_005,政策,科技,极权,科研军事化，消耗：权威、金钱 | 正面效果：大幅增强军事科研、提升保密性 | 副作用/风险：学术自由消失严重
0_6_2_006,政策,科技,极权,意识形态科研机构，消耗：权威、声量 | 正面效果：大幅增强意识形态科研 | 副作用/风险：实用科研滞后严重
0_6_2_007,政策,科技,极权,政治审查选拔，消耗：权威、声量 | 正面效果：大幅增强人才忠诚 | 副作用/风险：专业能力筛选缺失严重
0_6_2_008,政策,科技,极权,党员优先选拔，消耗：权威、声量 | 正面效果：增加党员人才、增强忠诚 | 副作用/风险：非党员人才排斥严重
0_6_2_009,政策,科技,极权,意识形态考核，消耗：权威 | 正面效果：大幅筛选意识形态忠诚 | 副作用/风险：专业能力下降严重
0_5_2_012,政策,社会,极权,计划迁移指令，消耗：权威、声量 | 正面效果：大幅增强人口控制、增加战略区人口 | 副作用/风险：迁移反抗严重、激进化严重
0_5_2_013,政策,社会,极权,强制迁移令，消耗：大量权威 | 正面效果：大幅增加战略区人口 | 副作用/风险：迁移反抗极严重、人权争议严重
0_5_2_014,政策,社会,极权,民族迁移计划，消耗：权威、声量 | 正面效果：增强民族分布控制 | 副作用/风险：民族反抗严重、激进化严重
0_5_2_015,政策,社会,极权,城市计划化，消耗：权威、金钱 | 正面效果：增强城市控制 | 副作用/风险：农村激进化严重
0_5_2_016,政策,社会,极权,阵营移民优先，消耗：权威、声量 | 正面效果：增加阵营移民、增强意识形态一致 | 副作用/风险：其他移民排斥严重
0_5_2_017,政策,社会,极权,意识形态移民筛选，消耗：权威 | 正面效果：大幅增加意识形态移民 | 副作用/风险：技术人才流失风险
0_3_2_004,政策,内政,极权,封闭边境维持，消耗：权威 | 正面效果：增强边境控制、提升稳定 | 副作用/风险：外部信息闭塞严重
0_5_2_018,政策,社会,极权,阵营荣誉授予，消耗：权威、声量 | 正面效果：增加阵营忠诚、提升激励 | 副作用/风险：非阵营成员排斥严重
0_5_2_019,政策,社会,极权,党员荣誉称号，消耗：权威、声量 | 正面效果：增加党员忠诚 | 副作用/风险：非党员激进化严重
0_5_2_020,政策,社会,极权,劳动英雄称号，消耗：声量、权威 | 正面效果：增加劳动激励、提升忠诚 | 副作用/风险：形式主义风险
0_5_2_021,政策,社会,极权,阵营福利计划，消耗：权威、大量金钱 | 正面效果：大幅增加阵营成员福利、大幅提升忠诚 | 副作用/风险：资源消耗极大、非阵营排斥严重
0_4_2_004,政策,国库财政,极权,配给制福利，消耗：权威、声量 | 正面效果：增加基本保障、提升稳定名义 | 副作用/风险：实际生活水平低
0_5_2_022,政策,社会,极权,特权阶层福利，消耗：权威、声量 | 正面效果：增加特权阶层忠诚 | 副作用/风险：底层激进化严重、名义公平受损严重
0_5_2_023,政策,社会,极权,阵营公民权制度，消耗：权威、声量 | 正面效果：增加阵营成员权利 | 副作用/风险：非阵营成员权利缺失严重
0_5_2_024,政策,社会,极权,意识形态公民权，消耗：权威 | 正面效果：大幅增加意识形态一致者权利 | 副作用/风险：异见者权利缺失极严重
0_5_2_025,政策,社会,极权,公民权限制令，消耗：权威 | 正面效果：大幅限制异见者权利 | 副作用/风险：人权争议极严重、激进化极严重
0_2_3_001,政策,军事,君主,王室征召令，消耗：权威、声量 | 正面效果：大幅增加贵族军队规模、增强忠诚 | 副作用/风险：底层兵源不足、激进化上升
0_2_3_002,政策,军事,君主,皇家军队建立，消耗：大量权威、金钱 | 正面效果：增加职业皇家军队规模、提升效率 | 副作用/风险：成本持续消耗
0_2_3_003,政策,军事,君主,贵族骑士征召，消耗：权威、声量 | 正面效果：大幅增加骑兵贵族、增强传统战力 | 副作用/风险：现代战力下降严重
0_2_3_004,政策,军事,君主,王室战争动员，消耗：大量权威、威望 | 正面效果：增强战争动员、提升王室权威 | 副作用/风险：底层激进化严重
0_2_3_005,政策,军事,君主,封建契约动员，消耗：权威、声量 | 正面效果：大幅增强封建动员、提升贵族效率 | 副作用/风险：现代效率下降严重
0_2_3_006,政策,军事,君主,皇家卫队镇压，消耗：权威、金钱 | 正面效果：大幅降低动乱、增强王室安全 | 副作用/风险：人权争议上升
0_2_3_007,政策,军事,君主,贵族私军镇压，消耗：权威、声量 | 正面效果：降低动乱、增强贵族控制 | 副作用/风险：底层激进化严重
0_3_3_001,政策,内政,君主,王室法令强制执行，消耗：权威、金钱 | 正面效果：增强法令执行、提升稳定 | 副作用/风险：底层反抗
0_2_3_008,政策,军事,君主,贵族特权镇压权，消耗：权威 | 正面效果：授权贵族镇压、增强稳定 | 副作用/风险：底层激进化严重
0_3_3_002,政策,内政,君主,流放/剥夺爵位，消耗：大量权威、威望 | 正面效果：消除异见贵族、大幅增强威慑 | 副作用/风险：贵族阶层不满上升
0_2_3_009,政策,军事,君主,贵族军官任命，消耗：权威、声量 | 正面效果：大幅增强贵族军官忠诚 | 副作用/风险：专业能力下降严重
0_2_3_010,政策,军事,君主,王室军官团建立，消耗：权威、金钱 | 正面效果：增加王室军官、增强忠诚 | 副作用/风险：贵族军官排斥
0_2_3_011,政策,军事,君主,军官爵位授予，消耗：权威、威望 | 正面效果：增强军官忠诚、提升激励 | 副作用/风险：其他军官不满
0_2_3_012,政策,军事,君主,王室军事学院，消耗：权威、金钱 | 正面效果：提升军官素质、增强王室控制 | 副作用/风险：贵族军官排斥
0_2_3_013,政策,军事,君主,贵族军官特权授予，消耗：权威、声量 | 正面效果：授予贵族军官特权、增强支持 | 副作用/风险：底层军官激进化
0_5_3_001,政策,社会,君主,王室诏令宣读，消耗：权威、声量 | 正面效果：大幅增强传统主义声量、提升王室权威 | 副作用/风险：民主派激进化
0_5_3_002,政策,社会,君主,王室神圣化宣传，消耗：大量权威、声量 | 正面效果：大幅增强王室神圣性、提升传统主义 | 副作用/风险：知识分子激进化严重
0_5_3_003,政策,社会,君主,贵族荣誉宣传，消耗：权威、声量 | 正面效果：增强贵族声量、提升稳定 | 副作用/风险：底层激进化严重
0_5_3_004,政策,社会,君主,传统价值观宣传，消耗：声量、权威 | 正面效果：增强传统主义、提升稳定名义 | 副作用/风险：知识分子激进化
0_5_3_005,政策,社会,君主,王室历史叙事，消耗：权威、声量 | 正面效果：增强王室历史叙事、提升传统主义 | 副作用/风险：知识分子历史争议
0_5_3_006,政策,社会,君主,贵族阶层宣传，消耗：声量、权威 | 正面效果：增强贵族声量、提升稳定 | 副作用/风险：底层激进化
0_3_3_003,政策,内政,君主,流放异见贵族，消耗：大量权威、威望 | 正面效果：消除异见贵族、大幅增强威慑 | 副作用/风险：贵族阶层不满严重
0_3_3_004,政策,内政,君主,剥夺爵位惩罚，消耗：权威、威望 | 正面效果：惩罚异见贵族、增强威慑 | 副作用/风险：贵族阶层恐慌
0_3_3_005,政策,内政,君主,王室审查令，消耗：权威 | 正面效果：控制舆论、增强稳定 | 副作用/风险：知识分子激进化严重
0_3_3_006,政策,内政,君主,贵族私审异见，消耗：权威、声量 | 正面效果：处理异见、增强贵族控制 | 副作用/风险：程序正义缺失严重
0_3_3_007,政策,内政,君主,王室禁令发布，消耗：权威、声量 | 正面效果：禁止异见、增强控制 | 副作用/风险：知识分子激进化严重
0_5_3_007,政策,社会,君主,贵族教育建立，消耗：权威、金钱 | 正面效果：增加贵族人才、增强忠诚 | 副作用/风险：底层教育缺失严重
0_5_3_008,政策,社会,君主,传统教育改革，消耗：权威、声量 | 正面效果：增强传统教育、提升传统主义 | 副作用/风险：知识分子激进化
0_5_3_009,政策,社会,君主,王室教育制度，消耗：权威、金钱 | 正面效果：增强王室教育、提升忠诚 | 副作用/风险：普通教育缺失
0_5_3_010,政策,社会,君主,贵族子弟培养计划，消耗：权威、金钱 | 正面效果：增加贵族后代、增强忠诚 | 副作用/风险：底层人才流失严重
0_5_3_011,政策,社会,君主,王室价值观教育，消耗：权威、声量 | 正面效果：推行王室价值观教育、增强忠诚 | 副作用/风险：知识分子激进化严重
0_1_3_001,政策,产业,君主,皇家特许经营，消耗：权威、声量 | 正面效果：增加贵族产业规模、增加王室收入 | 副作用/风险：市场效率下降
0_1_3_002,政策,产业,君主,王室产业建立，消耗：大量权威、金钱 | 正面效果：增加王室产业规模、大幅增加收入 | 副作用/风险：市场效率下降严重
0_1_3_003,政策,产业,君主,贵族产业保护，消耗：权威、声量 | 正面效果：增加贵族产业规模、提升稳定 | 副作用/风险：市场效率下降
0_0_3_001,政策,市场,君主,王室垄断建立，消耗：大量权威、金钱 | 正面效果：建立王室垄断、大幅增加收入 | 副作用/风险：市场活力下降严重
0_1_3_004,政策,产业,君主,贵族特许经营权授予，消耗：权威、声量 | 正面效果：授予贵族特许经营权、增加收入 | 副作用/风险：市场效率下降
0_4_3_001,政策,国库财政,君主,封建贡赋征收，消耗：权威、声量 | 正面效果：增加王室收入、增强贵族控制 | 副作用/风险：底层激进化严重
0_4_3_002,政策,国库财政,君主,贵族免税特权，消耗：权威 | 正面效果：大幅增强贵族支持 | 副作用/风险：底层激进化严重、财政减少
0_4_3_003,政策,国库财政,君主,王室税收优先，消耗：权威、声量 | 正面效果：增加王室收入、增强控制 | 副作用/风险：底层激进化严重
0_5_3_012,政策,社会,君主,贵族财富保护，消耗：权威、声量 | 正面效果：增加贵族财富、提升稳定 | 副作用/风险：底层财富分配下降
0_4_3_004,政策,国库财政,君主,王室财富积累计划，消耗：权威、金钱 | 正面效果：增加王室财富、提升权威 | 副作用/风险：底层财富流失严重
0_1_3_005,政策,产业,君主,农奴制劳动力，消耗：大量权威、声量 | 正面效果：大幅增强劳动力控制、提升稳定名义 | 副作用/风险：工人激进化严重、效率下降
0_1_3_006,政策,产业,君主,贵族劳动力调配，消耗：权威、声量 | 正面效果：增加贵族劳动力、增强控制 | 副作用/风险：底层流动性下降严重
0_1_3_007,政策,产业,君主,王室劳动力征调，消耗：权威、金钱 | 正面效果：增加王室劳动力、提升权威 | 副作用/风险：底层反抗严重
0_1_3_008,政策,产业,君主,封建劳动力绑定，消耗：权威、声量 | 正面效果：绑定劳动力、大幅提升稳定 | 副作用/风险：流动性下降严重、效率下降严重
0_1_3_009,政策,产业,君主,贵族庄园劳动力管理，消耗：权威、声量 | 正面效果：增加贵族庄园劳动力、增强控制 | 副作用/风险：底层激进化
0_0_3_002,政策,市场,君主,扩大商品存储上限，消耗：王权、威望 | 正面效果：扩大王室商品存储上限、增强王室物资储备 | 副作用/风险：存在失败率；失败导致王室威望下降或底层激进化
0_4_3_005,政策,国库财政,君主,产业亏损补贴，消耗：王权、大量金钱 | 正面效果：设定阈值自动触发王室财政补贴、稳定贵族产业 | 副作用/风险：财政赤字严重、底层税负增加、底层激进化
0_0_3_003,政策,市场,君主,国家投行化，消耗：王权、金钱 | 正面效果：王室注资银行业、提升信贷额度与贵族投资速度 | 副作用/风险：市场活力下降、贵族垄断金融、底层排斥
0_0_3_004,政策,市场,君主,信贷优先级干预，消耗：王权、声量 | 正面效果：设置银行业投资偏好（优先贵族产业/王室产业） | 副作用/风险：消费品产业信贷短缺、底层产业受损严重
0_2_3_014,政策,军事,君主,军工价格折扣政策，消耗：王权、金钱 | 正面效果：降低王室购买武器单价、节省王室军费开支 | 副作用/风险：军工厂商利润削减、贵族厂商可能缩减规模
0_0_3_005,政策,市场,君主,战略储备市场管理，消耗：王权、威望 | 正面效果：投入市场：供<求时释放缺口赚取王室利润；直接丢弃：王室指令销毁库存 | 副作用/风险：投入市场由王室控制价格；丢弃可人为制造稀缺强化控制
0_7_3_001,政策,外交,君主,皇室外交联姻，消耗：威望、权威 | 正面效果：增加外交同盟、大幅提升王室威望 | 副作用/风险：外交成本持续消耗
0_7_3_002,政策,外交,君主,皇室势力范围，消耗：权威、威望 | 正面效果：扩展势力范围、增强王室控制 | 副作用/风险：外交冲突风险
0_7_3_003,政策,外交,君主,皇室外交声明，消耗：权威、威望 | 正面效果：增强外交影响、提升王室威望 | 副作用/风险：外交冲突风险
0_7_3_004,政策,外交,君主,贵族外交代表，消耗：权威、声量 | 正面效果：增强贵族外交、提升稳定 | 副作用/风险：外交效率下降
0_7_3_005,政策,外交,君主,王室同盟建立，消耗：权威、威望 | 正面效果：增加王室同盟、获得外交支持 | 副作用/风险：同盟义务上升
0_8_3_001,政策,情报,君主,皇室情报网络，消耗：权威、金钱 | 正面效果：增强皇室情报、增强威慑 | 副作用/风险：维护成本上升
0_8_3_002,政策,情报,君主,贵族间谍网络，消耗：权威、金钱 | 正面效果：增强贵族情报、提升隐蔽性 | 副作用/风险：曝光风险
0_8_3_003,政策,情报,君主,王室政变策划，消耗：大量权威、威望 | 正面效果：提高目标国政权变更概率 | 副作用/风险：曝光风险严重、恶名上升
0_8_3_004,政策,情报,君主,皇室技术窃取，消耗：权威、金钱 | 正面效果：提高技术获取概率 | 副作用/风险：曝光风险、恶名上升
0_7_3_006,政策,外交,君主,皇室从属国建立，消耗：大量权威、威望 | 正面效果：增加从属国、增强王室控制 | 副作用/风险：管理成本上升
0_7_3_007,政策,外交,君主,贵族殖民地管理，消耗：权威、声量 | 正面效果：增加贵族殖民收入 | 副作用/风险：管理成本上升
0_7_3_008,政策,外交,君主,王室殖民特许，消耗：权威、金钱 | 正面效果：增加王室殖民收入 | 副作用/风险：殖民成本上升
0_7_3_009,政策,外交,君主,皇室势力范围声明，消耗：权威、威望 | 正面效果：扩展势力范围、增强控制 | 副作用/风险：外交冲突风险严重
0_6_3_001,政策,科技,君主,皇室需求导向科研，消耗：权威、金钱 | 正面效果：增强皇室需求科研 | 副作用/风险：其他领域滞后严重
0_6_3_002,政策,科技,君主,贵族科研优先，消耗：权威、声量 | 正面效果：增强贵族科研、提升稳定 | 副作用/风险：底层科研缺失严重
0_6_3_003,政策,科技,君主,王室科研机构建立，消耗：权威、金钱 | 正面效果：增强王室科研、提升权威 | 副作用/风险：市场科研缺失严重
0_6_3_004,政策,科技,君主,王室科研集中，消耗：大量权威、金钱 | 正面效果：提升科研效率、增强王室控制 | 副作用/风险：市场创新下降严重
0_6_3_005,政策,科技,君主,贵族科研资助，消耗：权威、金钱 | 正面效果：增强贵族科研、提升稳定 | 副作用/风险：底层科研缺失严重
0_6_3_006,政策,科技,君主,王室专利建立，消耗：权威、金钱 | 正面效果：建立王室专利、增加收入 | 副作用/风险：市场专利缺失严重
0_6_3_007,政策,科技,君主,血统+考试选拔，消耗：权威、声量 | 正面效果：增加贵族人才、增强能力 | 副作用/风险：底层排斥严重
0_6_3_008,政策,科技,君主,王室人才选拔，消耗：权威、金钱 | 正面效果：增加王室人才、增强忠诚 | 副作用/风险：底层人才流失严重
0_6_3_009,政策,科技,君主,贵族子弟优先选拔，消耗：权威、声量 | 正面效果：增加贵族子弟、提升稳定 | 副作用/风险：底层人才排斥严重
0_6_3_010,政策,科技,君主,王室学院培养，消耗：权威、金钱 | 正面效果：增加王室人才、大幅增强忠诚 | 副作用/风险：底层人才缺失严重
0_5_3_013,政策,社会,君主,封建迁移限制，消耗：权威 | 正面效果：控制人口迁移、提升稳定名义 | 副作用/风险：流动性下降严重
0_5_3_014,政策,社会,君主,王室迁移控制，消耗：权威、声量 | 正面效果：增强王室迁移控制、提升稳定 | 副作用/风险：流动性下降严重
0_5_3_015,政策,社会,君主,贵族庄园人口绑定，消耗：权威、声量 | 正面效果：增加贵族庄园人口、增强控制 | 副作用/风险：流动性下降严重
0_5_3_016,政策,社会,君主,王室领地人口调配，消耗：权威、金钱 | 正面效果：增加王室领地人口、提升权威 | 副作用/风险：底层反抗严重
0_5_3_017,政策,社会,君主,血统移民优先，消耗：权威、声量 | 正面效果：增加血统移民、提升稳定 | 副作用/风险：其他移民排斥严重
0_5_3_018,政策,社会,君主,王室移民控制，消耗：权威、声量 | 正面效果：增强王室移民控制、提升权威 | 副作用/风险：外部移民排斥严重
0_5_3_019,政策,社会,君主,贵族领地移民限制，消耗：权威、声量 | 正面效果：增强贵族领地移民、提升稳定 | 副作用/风险：外部移民排斥
0_5_3_020,政策,社会,君主,贵族爵位分封，消耗：大量权威、威望 | 正面效果：大幅增强贵族忠诚、大幅提升稳定 | 副作用/风险：底层激进化严重
0_5_3_021,政策,社会,君主,王室荣誉头衔授予，消耗：权威、威望 | 正面效果：增强王室荣誉、提升忠诚 | 副作用/风险：其他阶层激进化
0_5_3_022,政策,社会,君主,贵族特权头衔授予，消耗：权威、声量 | 正面效果：授予贵族特权头衔、提升稳定 | 副作用/风险：底层激进化严重
0_5_3_023,政策,社会,君主,王室封地授予，消耗：大量权威、威望 | 正面效果：大幅增强封地忠诚、大幅提升稳定 | 副作用/风险：底层激进化严重
0_5_3_024,政策,社会,君主,贵族封地授予，消耗：权威、声量 | 正面效果：增加贵族封地、增强忠诚 | 副作用/风险：底层激进化严重
0_5_3_025,政策,社会,君主,贵族阶级固定，消耗：权威、声量 | 正面效果：固定贵族阶级、大幅提升稳定 | 副作用/风险：底层阶级激进化严重
0_5_3_026,政策,社会,君主,王室阶级管理，消耗：权威、声量 | 正面效果：增强王室阶级、提升权威 | 副作用/风险：底层阶级激进化严重
0_5_3_027,政策,社会,君主,贵族特权阶级确立，消耗：权威、声量 | 正面效果：确立贵族特权阶级、大幅提升稳定 | 副作用/风险：底层阶级激进化严重
0_5_3_028,政策,社会,君主,皇室福利建立，消耗：权威、金钱 | 正面效果：增加贵族福利、增强忠诚 | 副作用/风险：底层福利缺失严重
