编号,所属类型,所属板块,所属政党,内容
0_5_3_029,政策,社会,君主,贵族福利建立，消耗：权威、金钱 | 正面效果：增加贵族福利、提升稳定 | 副作用/风险：底层福利缺失严重
0_5_3_030,政策,社会,君主,王室养老福利，消耗：权威、金钱 | 正面效果：增加王室养老、增强忠诚 | 副作用/风险：底层养老缺失严重
0_5_3_031,政策,社会,君主,贵族养老福利，消耗：权威、金钱 | 正面效果：增加贵族养老、提升稳定 | 副作用/风险：底层养老缺失严重
0_5_3_032,政策,社会,君主,血统公民权法案，消耗：权威、声量 | 正面效果：增加贵族权利、提升稳定 | 副作用/风险：底层激进化严重
0_5_3_033,政策,社会,君主,王室公民权制度，消耗：权威、声量 | 正面效果：增强王室公民权、提升权威 | 副作用/风险：底层公民权缺失严重
0_5_3_034,政策,社会,君主,贵族公民权特权，消耗：权威、声量 | 正面效果：授予贵族公民权特权、提升稳定 | 副作用/风险：底层公民权缺失严重
0_5_3_035,政策,社会,君主,王室特权公民权，消耗：权威、声量 | 正面效果：授予王室特权公民权、大幅提升权威 | 副作用/风险：底层公民权缺失严重
0_2_4_001,政策,军事,宗教,圣战动员令，消耗：大量信仰、权威 | 正面效果：大幅增强圣战动员、提升信徒战斗意志 | 副作用/风险：非信徒激进化严重
0_2_4_002,政策,军事,宗教,宗教军队建立，消耗：大量信仰、权威 | 正面效果：增加宗教军队规模、增强神职控制 | 副作用/风险：军事专业化下降
0_2_4_003,政策,军事,宗教,信徒征召令，消耗：信仰、声量 | 正面效果：大幅增加信徒兵源、增强忠诚 | 副作用/风险：非信徒兵源排斥
0_2_4_004,政策,军事,宗教,宗教战争动员，消耗：大量信仰、权威 | 正面效果：增强战争动员、提升宗教狂热 | 副作用/风险：非信徒反抗严重
0_2_4_005,政策,军事,宗教,神圣卫士建立，消耗：信仰、金钱 | 正面效果：增强神职安全、提升信徒忠诚 | 副作用/风险：成本持续消耗
0_2_4_006,政策,军事,宗教,异端审判镇压，消耗：权威、大量信仰 | 正面效果：大幅降低异端动乱、增强宗教控制 | 副作用/风险：人权争议严重、恐怖氛围
0_2_4_007,政策,军事,宗教,宗教法庭审判，消耗：大量信仰、权威 | 正面效果：处理异端、增强威慑 | 副作用/风险：程序正义缺失严重
0_2_4_008,政策,军事,宗教,神圣秩序执行，消耗：信仰、声量 | 正面效果：降低动乱、建立宗教秩序 | 副作用/风险：非信徒激进化严重
0_2_4_009,政策,军事,宗教,宗教警察执法，消耗：信仰、金钱 | 正面效果：降低动乱、增强宗教遵守 | 副作用/风险：非信徒反抗
0_2_4_010,政策,军事,宗教,异端清洗行动，消耗：大量权威、信仰 | 正面效果：消除异端、大幅增强宗教纯洁 | 副作用/风险：社会恐怖严重、人才流失严重
0_2_4_011,政策,军事,宗教,宗教军官制度，消耗：信仰、权威 | 正面效果：增强军队服从神职、提升宗教忠诚 | 副作用/风险：专业能力下降严重
0_2_4_012,政策,军事,宗教,神职军官任命，消耗：信仰、声量 | 正面效果：大幅增强神职军官忠诚 | 副作用/风险：军事专业下降严重
0_2_4_013,政策,军事,宗教,宗教军官考核，消耗：信仰、权威 | 正面效果：筛选宗教忠诚 | 副作用/风险：专业能力筛选缺失
0_2_4_014,政策,军事,宗教,宗教军官特权授予，消耗：信仰、声量 | 正面效果：授予宗教军官特权、增强支持 | 副作用/风险：非信徒军官激进化
0_2_4_015,政策,军事,宗教,神职军官团建立，消耗：信仰、金钱 | 正面效果：建立神职军官团、增强忠诚 | 副作用/风险：非信徒军官排斥
0_5_4_001,政策,社会,宗教,宗教布道大会，消耗：大量信仰、声量 | 正面效果：大幅增强宗教主义声量、提升信徒忠诚 | 副作用/风险：非信徒激进化严重
0_5_4_002,政策,社会,宗教,神圣领袖崇拜，消耗：大量信仰、权威 | 正面效果：大幅增强领袖神圣性、提升信徒忠诚 | 副作用/风险：知识分子激进化严重
0_5_4_003,政策,社会,宗教,宗教经典宣读，消耗：信仰、声量 | 正面效果：增强宗教声量、提升信徒虔诚 | 副作用/风险：知识分子反对
0_5_4_004,政策,社会,宗教,宗教教义宣传，消耗：大量信仰、声量 | 正面效果：传播教义、增强宗教认同 | 副作用/风险：非信徒排斥严重
0_5_4_005,政策,社会,宗教,宗教仪式公开，消耗：信仰、少量声量 | 正面效果：增强宗教氛围、提升信徒凝聚 | 副作用/风险：非信徒疏离
0_5_4_006,政策,社会,宗教,异端处刑，消耗：大量权威、信仰 | 正面效果：消除异端、大幅增强威慑 | 副作用/风险：人权争议严重、恐怖氛围严重
0_5_4_007,政策,社会,宗教,异端公开审判，消耗：大量信仰、权威 | 正面效果：审判异端、大幅增强威慑 | 副作用/风险：程序争议严重、社会恐怖严重
0_5_4_008,政策,社会,宗教,宗教审查令，消耗：信仰 | 正面效果：控制舆论、压制异见 | 副作用/风险：知识分子激进化严重
0_5_4_009,政策,社会,宗教,异端思想禁令，消耗：信仰、权威 | 正面效果：禁止异端思想、增强控制 | 副作用/风险：知识分子激进化严重
0_5_4_010,政策,社会,宗教,宗教法庭审判异见，消耗：大量信仰、权威 | 正面效果：处理异见、增强宗教威慑 | 副作用/风险：程序正义缺失严重
0_5_4_011,政策,社会,宗教,宗教媒体垄断，消耗：大量信仰、权威 | 正面效果：控制宗教信息、大幅增强控制 | 副作用/风险：信息闭塞严重
0_5_4_012,政策,社会,宗教,宗教广播建立，消耗：信仰、金钱 | 正面效果：增强宗教广播传播 | 副作用/风险：其他信息受阻严重
0_5_4_013,政策,社会,宗教,宗教信息控制，消耗：信仰、权威 | 正面效果：控制信息、维护宗教纯洁 | 副作用/风险：外部信息隔绝严重
0_5_4_014,政策,社会,宗教,宗教网络管控，消耗：信仰、金钱 | 正面效果：控制网络、增强宗教信息传播 | 副作用/风险：技术发展下降
0_5_4_015,政策,社会,宗教,宗教出版物管制，消耗：信仰、权威 | 正面效果：控制出版、增强宗教内容传播 | 副作用/风险：文化产出下降
0_5_4_016,政策,社会,宗教,宗教教育建立，消耗：大量信仰、金钱 | 正面效果：增强信徒教育、大幅提升忠诚 | 副作用/风险：科学教育缺失严重
0_5_4_017,政策,社会,宗教,宗教学校建立，消耗：大量信仰、金钱 | 正面效果：增加宗教学校、培养信徒 | 副作用/风险：普通教育缺失严重
0_5_4_018,政策,社会,宗教,宗教教材编写，消耗：信仰、声量 | 正面效果：控制教材、培养青年忠诚 | 副作用/风险：科学内容缺失严重
0_5_4_019,政策,社会,宗教,宗教思想教育，消耗：信仰、金钱 | 正面效果：推行思想教育、增强信徒忠诚 | 副作用/风险：批判思维缺失严重
0_5_4_020,政策,社会,宗教,宗教经典教育，消耗：信仰、声量 | 正面效果：推行经典教育、提升虔诚 | 副作用/风险：科学教育滞后
0_1_4_001,政策,产业,宗教,宗教基金控制，消耗：大量信仰、权威 | 正面效果：增强宗教产业、增加神职收入 | 副作用/风险：市场效率下降严重
0_1_4_002,政策,产业,宗教,宗教产业建立，消耗：大量信仰、金钱 | 正面效果：增加宗教产业规模、增加收入 | 副作用/风险：市场效率下降
0_1_4_003,政策,产业,宗教,宗教贸易控制，消耗：信仰、权威 | 正面效果：控制贸易、维护宗教纯洁 | 副作用/风险：贸易量下降严重
0_1_4_004,政策,产业,宗教,宗教商业特许，消耗：信仰、声量 | 正面效果：授予信徒商业特许、增加收入 | 副作用/风险：非信徒商业排斥
0_1_4_005,政策,产业,宗教,宗教垄断建立，消耗：大量信仰、金钱 | 正面效果：建立宗教垄断、大幅增加收入 | 副作用/风险：市场活力下降严重
0_4_4_001,政策,国库财政,宗教,宗教税征收，消耗：信仰、权威 | 正面效果：增加宗教收入、增强神职支持 | 副作用/风险：非信徒激进化严重
0_4_4_002,政策,国库财政,宗教,宗教贡赋征收，消耗：信仰、声量 | 正面效果：增加宗教收入、增强信徒贡献 | 副作用/风险：非信徒反抗
0_4_4_003,政策,国库财政,宗教,宗教财富分配，消耗：信仰、权威 | 正面效果：增加神职财富、获得信徒支持 | 副作用/风险：非信徒财富流失严重
0_4_4_004,政策,国库财政,宗教,宗教慈善建立，消耗：信仰、金钱 | 正面效果：增强信徒福利、提升忠诚 | 副作用/风险：非信徒排斥
0_4_4_005,政策,国库财政,宗教,宗教财富保护，消耗：信仰、声量 | 正面效果：保护神职财富、提升稳定 | 副作用/风险：非信徒财富下降
0_1_4_006,政策,产业,宗教,信徒劳动力调配，消耗：信仰、声量 | 正面效果：增强信徒劳动力、提升控制 | 副作用/风险：非信徒劳动力排斥严重
0_1_4_007,政策,产业,宗教,宗教劳动力征调，消耗：信仰、金钱 | 正面效果：增加宗教劳动力、提升权威 | 副作用/风险：非信徒反抗严重
0_1_4_008,政策,产业,宗教,宗教劳动力绑定，消耗：大量信仰、声量 | 正面效果：绑定劳动力、大幅提升稳定 | 副作用/风险：非信徒流动性下降严重
0_1_4_009,政策,产业,宗教,宗教产业劳动力管理，消耗：信仰、声量 | 正面效果：增强宗教产业劳动力、提升控制 | 副作用/风险：非信徒激进化
0_1_4_010,政策,产业,宗教,圣战物资征调，消耗：大量信仰、权威 | 正面效果：大幅增加圣战物资、增强动员 | 副作用/风险：消费品短缺严重
0_0_4_001,政策,市场,宗教,扩大商品存储上限，消耗：信仰、权威 | 正面效果：扩大宗教商品存储上限、增强宗教物资储备 | 副作用/风险：存在失败率；失败导致神职威望下降或非信徒激进化
0_4_4_006,政策,国库财政,宗教,产业亏损补贴，消耗：信仰、大量金钱 | 正面效果：设定阈值自动触发宗教基金补贴、稳定信徒产业 | 副作用/风险：财政赤字严重、非信徒产业被排斥、非信徒激进化
0_0_4_002,政策,市场,宗教,国家投行化，消耗：大量信仰、权威 | 正面效果：宗教基金注资银行业、提升信贷额度与信徒投资速度 | 副作用/风险：市场活力下降严重、金融垄断、非信徒排斥严重
0_0_4_003,政策,市场,宗教,信贷优先级干预，消耗：信仰、声量 | 正面效果：设置银行业投资偏好（优先宗教产业/圣战物资） | 副作用/风险：消费品产业信贷短缺严重、非信徒产业受损极严重
0_2_4_016,政策,军事,宗教,军工价格折扣政策，消耗：信仰、金钱 | 正面效果：降低宗教购买圣战武器单价、节省圣战军费开支 | 副作用/风险：军工厂商利润削减、信徒厂商可能缩减规模
0_0_4_004,政策,市场,宗教,战略储备市场管理，消耗：信仰、权威 | 正面效果：投入市场：供<求时释放缺口赚取宗教基金利润；直接丢弃：宗教指令销毁库存 | 副作用/风险：投入市场由宗教控制价格；丢弃可人为制造稀缺强化宗教控制
0_7_4_001,政策,外交,宗教,宗教联盟建立，消耗：大量信仰、威望 | 正面效果：增加宗教同盟、获得信徒支持 | 副作用/风险：外交冲突风险
0_7_4_002,政策,外交,宗教,宗教外交声明，消耗：信仰、权威 | 正面效果：增强外交影响、提升宗教威望 | 副作用/风险：外交冲突风险
0_7_4_003,政策,外交,宗教,宗教同盟支持，消耗：信仰、金钱 | 正面效果：增加宗教盟友、输出意识形态 | 副作用/风险：外交恶名上升
0_7_4_004,政策,外交,宗教,宗教外交网络建立，消耗：信仰、威望 | 正面效果：增强宗教外交网络、获得支持 | 副作用/风险：外交成本持续消耗
0_7_4_005,政策,外交,宗教,宗教国际组织参与，消耗：信仰、声量 | 正面效果：增强国际宗教影响、提升信誉 | 副作用/风险：国际义务
0_8_4_001,政策,情报,宗教,宗教渗透输出，消耗：信仰、权威 | 正面效果：增强宗教影响、传播信仰 | 副作用/风险：外交恶名上升严重
0_8_4_002,政策,情报,宗教,宗教地下组织建立，消耗：信仰、金钱 | 正面效果：建立长期渗透、增强隐蔽性 | 副作用/风险：维护成本持续消耗
0_8_4_003,政策,情报,宗教,宗教政变策划，消耗：大量信仰、威望 | 正面效果：提高目标国政权变更概率 | 副作用/风险：曝光风险严重、恶名上升
0_8_4_004,政策,情报,宗教,宗教情报网络，消耗：信仰、金钱 | 正面效果：增强宗教情报、提升隐蔽 | 副作用/风险：曝光风险
0_8_4_005,政策,情报,宗教,宗教技术窃取，消耗：信仰、金钱 | 正面效果：提高技术获取概率 | 副作用/风险：曝光风险、恶名上升
0_7_4_006,政策,外交,宗教,宗教从属国建立，消耗：大量信仰、权威 | 正面效果：增加宗教从属国、增强控制 | 副作用/风险：管理成本上升
0_7_4_007,政策,外交,宗教,宗教势力范围声明，消耗：大量信仰、威望 | 正面效果：扩展势力范围、增强控制 | 副作用/风险：外交冲突风险严重
0_7_4_008,政策,外交,宗教,宗教傀儡国建立，消耗：大量信仰、威望 | 正面效果：增加宗教傀儡国、增加收入 | 副作用/风险：傀儡叛乱风险
0_7_4_009,政策,外交,宗教,宗教殖民地管理，消耗：信仰、声量 | 正面效果：增加宗教殖民收入 | 副作用/风险：管理成本上升
0_7_4_010,政策,外交,宗教,宗教区域控制，消耗：信仰、权威 | 正面效果：增强区域控制、传播宗教 | 副作用/风险：区域反抗
0_6_4_001,政策,科技,宗教,宗教科研导向，消耗：信仰、权威 | 正面效果：增强宗教需求科研 | 副作用/风险：其他领域滞后严重
0_6_4_002,政策,科技,宗教,宗教需求优先科研，消耗：信仰、金钱 | 正面效果：增强宗教需求科研、提升效率 | 副作用/风险：科学科研滞后严重
0_6_4_003,政策,科技,宗教,宗教科研机构建立，消耗：信仰、金钱 | 正面效果：增强宗教科研、提升权威 | 副作用/风险：市场科研缺失
0_6_4_004,政策,科技,宗教,宗教科研集中，消耗：大量信仰、金钱 | 正面效果：提升科研效率、增强宗教控制 | 副作用/风险：市场创新下降严重
0_6_4_005,政策,科技,宗教,宗教科研资助，消耗：信仰、金钱 | 正面效果：增强宗教科研、提升稳定 | 副作用/风险：科学科研缺失严重
0_6_4_006,政策,科技,宗教,宗教专利建立，消耗：信仰、金钱 | 正面效果：建立宗教专利、增加收入 | 副作用/风险：市场专利缺失
0_6_4_007,政策,科技,宗教,宗教考试选拔，消耗：信仰、权威 | 正面效果：增加信徒人才、增强忠诚 | 副作用/风险：非信徒排斥严重
0_6_4_008,政策,科技,宗教,神职人才选拔，消耗：信仰、金钱 | 正面效果：增加神职人才、增强忠诚 | 副作用/风险：非信徒人才流失
0_6_4_009,政策,科技,宗教,信徒优先选拔，消耗：信仰、声量 | 正面效果：增加信徒人才、提升稳定 | 副作用/风险：非信徒排斥严重
0_6_4_010,政策,科技,宗教,宗教学院培养，消耗：信仰、金钱 | 正面效果：增加宗教人才、增强忠诚 | 副作用/风险：非信徒人才缺失严重
0_5_4_021,政策,社会,宗教,宗教迁移限制，消耗：信仰、权威 | 正面效果：控制信徒迁移、提升稳定 | 副作用/风险：非信徒迁移受限严重
0_5_4_022,政策,社会,宗教,信徒迁移优先，消耗：信仰、声量 | 正面效果：增强信徒迁移、提升控制 | 副作用/风险：非信徒迁移排斥
0_5_4_023,政策,社会,宗教,宗教区域人口绑定，消耗：信仰、声量 | 正面效果：增强宗教区域人口、提升控制 | 副作用/风险：非信徒流动性下降严重
0_5_4_024,政策,社会,宗教,宗教领地人口调配，消耗：信仰、金钱 | 正面效果：增强宗教领地人口、提升权威 | 副作用/风险：非信徒反抗
0_5_4_025,政策,社会,宗教,信徒移民优先，消耗：信仰、声量 | 正面效果：增加信徒移民、提升稳定 | 副作用/风险：其他移民排斥严重
0_5_4_026,政策,社会,宗教,宗教移民控制，消耗：信仰、声量 | 正面效果：增强宗教移民控制、提升权威 | 副作用/风险：外部移民排斥
0_5_4_027,政策,社会,宗教,宗教领地移民限制，消耗：信仰、声量 | 正面效果：增强宗教领地移民、提升稳定 | 副作用/风险：外部移民排斥
0_5_4_028,政策,社会,宗教,宗教头衔授予，消耗：信仰、威望 | 正面效果：增强信徒忠诚、授予荣誉 | 副作用/风险：非信徒激进化
0_5_4_029,政策,社会,宗教,神职头衔授予，消耗：大量信仰、威望 | 正面效果：大幅增强神职忠诚、提升稳定 | 副作用/风险：非信徒激进化严重
0_5_4_030,政策,社会,宗教,宗教荣誉头衔授予，消耗：信仰、声量 | 正面效果：授予宗教荣誉、提升稳定 | 副作用/风险：非信徒激进化
0_5_4_031,政策,社会,宗教,宗教封地授予，消耗：大量信仰、威望 | 正面效果：大幅增强封地忠诚、提升稳定 | 副作用/风险：非信徒激进化严重
0_5_4_032,政策,社会,宗教,神职封地授予，消耗：大量信仰、声量 | 正面效果：增强神职封地、提升忠诚 | 副作用/风险：非信徒激进化严重
0_5_4_033,政策,社会,宗教,信徒阶级固定，消耗：大量信仰、声量 | 正面效果：固定信徒阶级、大幅提升稳定 | 副作用/风险：非信徒阶级激进化严重
0_5_4_034,政策,社会,宗教,宗教阶级管理，消耗：信仰、声量 | 正面效果：增强宗教阶级、提升权威 | 副作用/风险：非信徒阶级激进化严重
0_5_4_035,政策,社会,宗教,神职特权阶级确立，消耗：大量信仰、声量 | 正面效果：确立神职特权阶级、大幅提升稳定 | 副作用/风险：非信徒阶级激进化严重
0_5_4_036,政策,社会,宗教,宗教福利建立，消耗：信仰、金钱 | 正面效果：增强信徒福利、提升忠诚 | 副作用/风险：非信徒福利缺失
0_5_4_037,政策,社会,宗教,神职福利建立，消耗：信仰、金钱 | 正面效果：增强神职福利、提升稳定 | 副作用/风险：非信徒福利缺失
0_5_4_038,政策,社会,宗教,宗教养老福利，消耗：信仰、金钱 | 正面效果：增强宗教养老、提升忠诚 | 副作用/风险：非信徒养老缺失严重
0_5_4_039,政策,社会,宗教,神职养老福利，消耗：信仰、金钱 | 正面效果：增强神职养老、提升稳定 | 副作用/风险：非信徒养老缺失
0_5_4_040,政策,社会,宗教,宗教公民权法案，消耗：信仰、权威 | 正面效果：增强信徒权利、提升稳定 | 副作用/风险：非信徒权利缺失严重
0_5_4_041,政策,社会,宗教,神职公民权制度，消耗：大量信仰、声量 | 正面效果：建立神职公民权、提升权威 | 副作用/风险：非信徒公民权缺失严重
0_5_4_042,政策,社会,宗教,信徒公民权特权，消耗：信仰、声量 | 正面效果：授予信徒公民权、提升稳定 | 副作用/风险：非信徒公民权缺失严重
0_5_4_043,政策,社会,宗教,宗教特权公民权，消耗：大量信仰、声量 | 正面效果：授予宗教特权公民权、大幅提升权威 | 副作用/风险：非信徒公民权缺失严重
0_2_5_001,政策,军事,独裁,个人征召令，消耗：权威、金钱 | 正面效果：加快动员速度、增强个人控制 | 副作用/风险：激进化上升
0_2_5_002,政策,军事,独裁,私人军队建立，消耗：大量权威、金钱 | 正面效果：增加私人军队规模、增强忠诚 | 副作用/风险：成本持续消耗
0_2_5_003,政策,军事,独裁,领袖征召动员，消耗：权威、声量 | 正面效果：增强领袖征召、提升个人权威 | 副作用/风险：底层激进化
0_2_5_004,政策,军事,独裁,私人卫队建立，消耗：大量权威、金钱 | 正面效果：大幅增强个人安全、提升忠诚 | 副作用/风险：成本持续消耗
0_2_5_005,政策,军事,独裁,个人战争动员，消耗：大量权威、金钱 | 正面效果：增强战争动员、提升个人权威 | 副作用/风险：底层激进化
0_2_5_006,政策,军事,独裁,秘密处决镇压，消耗：大量权威 | 正面效果：大幅降低动乱、增强控制 | 副作用/风险：人权争议严重、政变风险激增后下降
0_2_5_007,政策,军事,独裁,私人卫队镇压，消耗：权威、金钱 | 正面效果：降低动乱、增强领袖安全 | 副作用/风险：人权争议
0_2_5_008,政策,军事,独裁,强制秩序执行，消耗：权威、声量 | 正面效果：降低动乱、增强控制 | 副作用/风险：底层反抗
0_2_5_009,政策,军事,独裁,私人警察执法，消耗：权威、金钱 | 正面效果：降低动乱、增强领袖控制 | 副作用/风险：底层激进化
0_2_5_010,政策,军事,独裁,秘密清洗行动，消耗：大量权威 | 正面效果：消除异见、大幅增强控制 | 副作用/风险：社会恐怖严重、人才流失
0_2_5_011,政策,军事,独裁,军官个人任命，消耗：权威 | 正面效果：增强军队服从领袖 | 副作用/风险：专业能力下降
0_2_5_012,政策,军事,独裁,私人军官团建立，消耗：权威、金钱 | 正面效果：建立私人军官团、增强忠诚 | 副作用/风险：其他军官排斥
0_2_5_013,政策,军事,独裁,军官个人忠诚考核，消耗：权威 | 正面效果：筛选军官忠诚 | 副作用/风险：专业能力筛选缺失
0_2_5_014,政策,军事,独裁,军官个人特权授予，消耗：权威、声量 | 正面效果：授予军官特权、增强支持 | 副作用/风险：其他军官激进化
0_2_5_015,政策,军事,独裁,私人军官清洗，消耗：大量权威 | 正面效果：增强军队绝对忠诚 | 副作用/风险：军事能力下降、政变风险激增后下降
0_5_5_001,政策,社会,独裁,个人演讲广播，消耗：权威、声量 | 正面效果：增强个人声量、提升领袖崇拜 | 副作用/风险：持续成本消耗
0_5_5_002,政策,社会,独裁,极端个人崇拜建设，消耗：大量权威、声量 | 正面效果：大幅增强个人权威、提升群众崇拜 | 副作用/风险：领袖依赖危机严重
0_5_5_003,政策,社会,独裁,领袖形象塑造，消耗：权威、声量 | 正面效果：增强领袖形象、提升忠诚 | 副作用/风险：持续维护成本
0_5_5_004,政策,社会,独裁,领袖神圣化宣传，消耗：大量权威、声量 | 正面效果：增强领袖神圣性、提升崇拜 | 副作用/风险：知识分子激进化
0_5_5_005,政策,社会,独裁,领袖英雄叙事，消耗：权威、声量 | 正面效果：增强领袖历史叙事、提升崇拜 | 副作用/风险：知识分子争议
0_5_5_006,政策,社会,独裁,秘密处决异见派，消耗：大量权威 | 正面效果：消除异见派 | 副作用/风险：社会恐怖严重、人权争议严重
0_5_5_007,政策,社会,独裁,异见派公开审判，消耗：权威、声量 | 正面效果：审判异见、增强威慑 | 副作用/风险：程序争议、社会恐怖
0_5_5_008,政策,社会,独裁,领袖审查令，消耗：权威 | 正面效果：控制舆论、压制异见 | 副作用/风险：知识分子激进化
0_5_5_009,政策,社会,独裁,异见思想禁令，消耗：权威、声量 | 正面效果：禁止异见思想、增强控制 | 副作用/风险：知识分子激进化严重
0_5_5_010,政策,社会,独裁,秘密审判异见，消耗：权威、声量 | 正面效果：处理异见、增强领袖威慑 | 副作用/风险：程序正义缺失严重
0_5_5_011,政策,社会,独裁,领袖媒体垄断，消耗：权威、金钱 | 正面效果：控制领袖信息、增强控制 | 副作用/风险：信息闭塞严重
0_5_5_012,政策,社会,独裁,领袖广播建立，消耗：权威、金钱 | 正面效果：增强领袖广播传播 | 副作用/风险：其他信息受阻
0_5_5_013,政策,社会,独裁,领袖信息控制，消耗：权威、声量 | 正面效果：控制信息、维护领袖纯洁 | 副作用/风险：外部信息隔绝
0_5_5_014,政策,社会,独裁,领袖网络管控，消耗：权威、金钱 | 正面效果：控制网络、增强领袖信息传播 | 副作用/风险：技术发展下降
0_5_5_015,政策,社会,独裁,领袖出版物管制，消耗：权威、声量 | 正面效果：控制出版、增强领袖内容传播 | 副作用/风险：文化产出下降
0_5_5_016,政策,社会,独裁,领袖思想教育，消耗：大量权威、金钱 | 正面效果：推行领袖思想教育、增强忠诚 | 副作用/风险：科学教育缺失严重
0_5_5_017,政策,社会,独裁,领袖学校建立，消耗：权威、金钱 | 正面效果：建立领袖学校、培养忠诚 | 副作用/风险：普通教育缺失
0_5_5_018,政策,社会,独裁,领袖教材编写，消耗：权威、声量 | 正面效果：控制教材、培养青年忠诚 | 副作用/风险：科学内容缺失严重
0_5_5_019,政策,社会,独裁,领袖崇拜教育，消耗：权威、金钱 | 正面效果：推行崇拜教育、增强领袖忠诚 | 副作用/风险：批判思维缺失严重
0_5_5_020,政策,社会,独裁,领袖经典教育，消耗：权威、声量 | 正面效果：推行经典教育、增强忠诚 | 副作用/风险：科学教育滞后
0_1_5_001,政策,产业,独裁,领袖家族控制产业，消耗：大量权威、金钱 | 正面效果：增加领袖收入、增强个人控制 | 副作用/风险：市场效率下降严重
0_1_5_002,政策,产业,独裁,领袖产业建立，消耗：权威、金钱 | 正面效果：增加领袖产业规模、增加收入 | 副作用/风险：市场效率下降
0_1_5_003,政策,产业,独裁,领袖贸易控制，消耗：权威、金钱 | 正面效果：控制贸易、增加领袖收入 | 副作用/风险：贸易量下降严重
0_1_5_004,政策,产业,独裁,领袖商业特许，消耗：权威、声量 | 正面效果：授予领袖商业特许、增加收入 | 副作用/风险：其他商业排斥
0_1_5_005,政策,产业,独裁,领袖垄断建立，消耗：大量权威、金钱 | 正面效果：建立领袖垄断、大幅增加收入 | 副作用/风险：市场活力下降严重
0_4_5_001,政策,国库财政,独裁,领袖税征收，消耗：权威 | 正面效果：增加领袖收入 | 副作用/风险：底层激进化严重
0_4_5_002,政策,国库财政,独裁,领袖贡赋征收，消耗：权威、声量 | 正面效果：增加领袖收入、增强个人贡献 | 副作用/风险：底层反抗
0_4_5_003,政策,国库财政,独裁,领袖财富分配，消耗：权威、金钱 | 正面效果：增加领袖财富、获得忠诚者支持 | 副作用/风险：底层财富流失严重
0_4_5_004,政策,国库财政,独裁,领袖慈善建立，消耗：权威、金钱 | 正面效果：建立领袖慈善、增强忠诚 | 副作用/风险：底层实际受益有限
0_4_5_005,政策,国库财政,独裁,领袖财富保护，消耗：权威、声量 | 正面效果：保护领袖财富、提升稳定 | 副作用/风险：底层财富下降
0_1_5_006,政策,产业,独裁,领袖劳动力调配，消耗：权威、声量 | 正面效果：增强领袖劳动力、提升控制 | 副作用/风险：底层劳动力排斥
0_1_5_007,政策,产业,独裁,强制劳动征调，消耗：大量权威 | 正面效果：增加领袖劳动力 | 副作用/风险：工人反抗严重
0_1_5_008,政策,产业,独裁,领袖劳动力绑定，消耗：权威、声量 | 正面效果：绑定劳动力、提升稳定 | 副作用/风险：底层流动性下降严重
0_1_5_009,政策,产业,独裁,领袖产业劳动力管理，消耗：权威、声量 | 正面效果：增强领袖产业劳动力、提升控制 | 副作用/风险：底层激进化
0_1_5_010,政策,产业,独裁,领袖物资征调，消耗：权威、金钱 | 正面效果：增加领袖物资、增强动员 | 副作用/风险：消费品短缺
0_0_5_001,政策,市场,独裁,扩大商品存储上限，消耗：个人权、金钱 | 正面效果：扩大领袖商品存储上限、增强领袖物资储备 | 副作用/风险：存在失败率；失败导致政变风险激增或底层激进化严重
0_4_5_006,政策,国库财政,独裁,产业亏损补贴，消耗：个人权、大量金钱 | 正面效果：设定阈值自动触发领袖财政补贴、稳定领袖产业 | 副作用/风险：财政赤字极严重、领袖家族产业优先、底层税负激增
0_0_5_002,政策,市场,独裁,国家投行化，消耗：大量个人权、金钱 | 正面效果：领袖家族注资银行业、大幅提升信贷额度与领袖投资速度 | 副作用/风险：市场活力消失、金融完全垄断、领袖家族控制金融
0_0_5_003,政策,市场,独裁,信贷优先级干预，消耗：个人权、声量 | 正面效果：设置银行业投资偏好（强制优先领袖产业/私人军工） | 副作用/风险：消费品产业信贷彻底消失、民用产业严重受损
