名称,英文名,时代/时期,前置科技,解锁单位,解锁建筑,解锁系统,成本,备注
远古时代 Ancient Era
================================
木工,Woodworking,远古时代,,采集者,伐木场,采集系统,60,基础采集升级
狩猎,Hunting,远古时代,,猎人,狩猎营地,狩猎系统,60,基础狩猎
制陶,Pottery,远古时代,,,粮仓,定居系统,60,定居点升级
畜牧业,Animal Husbandry,远古时代,狩猎,,,牧场,畜牧系统,60
采矿,Mining,远古时代,,,矿场,采矿系统,60,基础采矿
占星术,Astrology,远古时代,,,祭坛,宗教系统,60,宗教起点
文字,Writing,远古时代,制陶,,,档案馆,文化系统,80
航海,Sailing,远古时代,,渔船,码头,航海系统,80
铜器,Copper Working,远古时代,采矿,斧兵,铸造厂,军事系统,80
石工,Masonry,远古时代,采矿,,,城墙,建筑系统,80

古典时代 Classical Era
================================
铁器,Iron Working,古典时代,铜器,剑士,铁匠铺,,120
马术,Horse Riding,古典时代,畜牧业,骑兵,马厩,,120
哲学,Philosophy,古典时代,文字,,,学院,法律系统,120
数学,Mathematics,古典时代,文字,,,图书馆,,120
工程学,Engineering,古典时代,采矿,,,引水渠,120
货币,Currency,古典时代,文字,,,市场,经济系统,120
法律,Code of Law,古典时代,哲学,,,法院,120
宗教神学,Religious Theology,古典时代,占星术,,,神殿,120

探索时代 Exploration Era (中世纪)
================================
教育,Education,探索时代,哲学,,,大学,240
机械,Machinery,探索时代,工程学,弩手,工坊,,240
城堡,Castles,探索时代,石工,,,城堡,240
骑士制度,Chivalry,探索时代,马术,骑士,骑士厅,,240
火药,Gunpowre,探索时代,教育,火枪手,,,240
印刷,Printing,探索时代,文字,,,印刷厂,240
天文学,Astronomy,探索时代,占星术,,,天文台,240
制图学,Cartography,探索时代,航海,,,地图室,240

近代 Modern Era (文艺复兴-工业)
================================
工业化,Industrialization,近代,机械,,,工厂,360
蒸汽机,Steam Power,近代,工业化,,,铁路,360
科学理论,Scientific Theory,近代,教育,,,实验室,360
经济学,Economics,近代,货币,,,银行,360
军事科学,Military Science,近代,火药,线列步兵,军事学院,,360
航空,Aeronautics,近代,制图学,飞机,机场,,480
电力,Electricity,近代,科学理论,,,发电厂,480
化学,Chemistry,近代,科学理论,,,化工厂,480
钢铁,Steel,近代,工业化,坦克,钢铁厂,,480
无线电,Radio,近代,电力,,,广播塔,480

工业时代 Industrial Era
================================
大规模生产,Assembly Line,工业时代,工业化,,,流水线工厂,720
内燃机,Internal Combustion,工业时代,钢铁,汽车,加油站,,720
电子学,Electronics,工业时代,电力,,,电子厂,720
核物理,Nuclear Physics,工业时代,化学,,,核设施,720
火箭技术,Rocketry,工业时代,航空,,,航天中心,720
计算机,Computing,工业时代,电子学,,,计算机中心,720

现代 Modern Era (20世纪)
================================
卫星技术,Satellites,现代,火箭技术,,,卫星发射场,960
核武器,Nuclear Weapons,现代,核物理,,,核弹发射井,960
喷气发动机,Jet Engines,现代,内燃机,喷气机,航空公司,,960
互联网,Internet,现代,计算机,,,网络中心,960
基因工程,Genetics,现代,化学,,,生物实验室,960
机器人学,Robotics,现代,电子学,机器人,,,960
人工智能,Artificial Intelligence,现代,计算机,,,AI实验室,1200

未来时代 Future Era
================================
纳米技术,Nanotechnology,未来时代,机器人学,,,纳米工厂,1200
量子计算,Quantum Computing,未来时代,人工智能,,,量子计算机,1200
太空殖民,Space Colonization,未来时代,卫星技术,,,太空站,1200
反物质,Antimatter,未来时代,核物理,,,反物质工厂,1200
时间科技,Temporal Technology,未来时代,量子计算,,,时间实验室,1200